id,name,parent_id,pics,url_slug,tree_print,search_visible,child_count,index_hierarchy_data
500605,"Water Utilities",5006,500605,water-utilities,"Energy & Utilities (Traditional) > Utilities  > Water Utilities",Yes,0,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|5006::500::5006::utilities-::Utilities |500605::5006::500605::water-utilities::Water Utilities"
500699,"Other Utilities",5006,500699,other-utilities,"Energy & Utilities (Traditional) > Utilities  > Other Utilities",No,0,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|5006::500::5006::utilities-::Utilities |500699::5006::500699::other-utilities::Other Utilities"
599999,"Other Energy & Utilities ",500,599999,other-energy-utilities-,"Energy & Utilities (Traditional) > Other Energy & Utilities ",No,0,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)|599999::500::599999::other-energy-utilities-::Other Energy & Utilities "
600101,"Commercial Banks",6001,600101,commercial-banks,"Financial > Banking > Commercial Banks",Yes,0,"600::0::600::financial::Financial|6001::600::6001::banking::Banking|600101::6001::600101::commercial-banks::Commercial Banks"
600102,"Credit Unions",6001,600102,credit-unions,"Financial > Banking > Credit Unions",Yes,0,"600::0::600::financial::Financial|6001::600::6001::banking::Banking|600102::6001::600102::credit-unions::Credit Unions"
600103,"Major Banks",6001,600103,major-banks,"Financial > Banking > Major Banks",Yes,0,"600::0::600::financial::Financial|6001::600::6001::banking::Banking|600103::6001::600103::major-banks::Major Banks"
600104,"Regional Banks",6001,600104,regional-banks,"Financial > Banking > Regional Banks",Yes,0,"600::0::600::financial::Financial|6001::600::6001::banking::Banking|600104::6001::600104::regional-banks::Regional Banks"
600105,"S&l's / Savings Banks",6001,600105,sls-savings-banks,"Financial > Banking > S&l's / Savings Banks",Yes,0,"600::0::600::financial::Financial|6001::600::6001::banking::Banking|600105::6001::600105::sls-savings-banks::S&l's / Savings Banks"
600199,"Other Banking",6001,600199,other-banking,"Financial > Banking > Other Banking",No,0,"600::0::600::financial::Financial|6001::600::6001::banking::Banking|600199::6001::600199::other-banking::Other Banking"
600201,"Business Appraisal",6002,600201,business-appraisal,"Financial > Commercial Financial Services > Business Appraisal",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600201::6002::600201::business-appraisal::Business Appraisal"
600202,"Business Brokerage",6002,600202,business-brokerage,"Financial > Commercial Financial Services > Business Brokerage",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600202::6002::600202::business-brokerage::Business Brokerage"
600203,"Digital Asset Management",6002,600203,digital-asset-management,"Financial > Commercial Financial Services > Digital Asset Management",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600203::6002::600203::digital-asset-management::Digital Asset Management"
600204,"Escrow Services",6002,600204,escrow-services,"Financial > Commercial Financial Services > Escrow Services",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600204::6002::600204::escrow-services::Escrow Services"
600205,"Finance Companies",6002,600205,finance-companies,"Financial > Commercial Financial Services > Finance Companies",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600205::6002::600205::finance-companies::Finance Companies"
600206,"Health & Welfare Funds",6002,600206,health-welfare-funds,"Financial > Commercial Financial Services > Health & Welfare Funds",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600206::6002::600206::health-welfare-funds::Health & Welfare Funds"
600207,"Hedge Funds",6002,600207,hedge-funds,"Financial > Commercial Financial Services > Hedge Funds",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600207::6002::600207::hedge-funds::Hedge Funds"
600208,"Institutional Asset Management",6002,600208,institutional-asset-management,"Financial > Commercial Financial Services > Institutional Asset Management",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600208::6002::600208::institutional-asset-management::Institutional Asset Management"
600209,"International Trade Financing",6002,600209,international-trade-financing,"Financial > Commercial Financial Services > International Trade Financing",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600209::6002::600209::international-trade-financing::International Trade Financing"
600210,"Investment Advice",6002,600210,investment-advice,"Financial > Commercial Financial Services > Investment Advice",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600210::6002::600210::investment-advice::Investment Advice"
600211,"Investment Banking",6002,600211,investment-banking,"Financial > Commercial Financial Services > Investment Banking",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600211::6002::600211::investment-banking::Investment Banking"
600212,"Investment Funds",6002,600212,investment-funds,"Financial > Commercial Financial Services > Investment Funds",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600212::6002::600212::investment-funds::Investment Funds"
600213,"Market Making",6002,600213,market-making,"Financial > Commercial Financial Services > Market Making",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600213::6002::600213::market-making::Market Making"
600214,"Mutual Funds",6002,600214,mutual-funds,"Financial > Commercial Financial Services > Mutual Funds",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600214::6002::600214::mutual-funds::Mutual Funds"
600215,"Portfolio Management",6002,600215,portfolio-management,"Financial > Commercial Financial Services > Portfolio Management",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600215::6002::600215::portfolio-management::Portfolio Management"
600216,"Public Sector Asset Management",6002,600216,public-sector-asset-management,"Financial > Commercial Financial Services > Public Sector Asset Management",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600216::6002::600216::public-sector-asset-management::Public Sector Asset Management"
600217,"Retail Asset Management",6002,600217,retail-asset-management,"Financial > Commercial Financial Services > Retail Asset Management",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600217::6002::600217::retail-asset-management::Retail Asset Management"
600218,"Retirement & Pension Management",6002,600218,retirement-pension-management,"Financial > Commercial Financial Services > Retirement & Pension Management",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600218::6002::600218::retirement-pension-management::Retirement & Pension Management"
600219,"Secondary Market Financing",6002,600219,secondary-market-financing,"Financial > Commercial Financial Services > Secondary Market Financing",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600219::6002::600219::secondary-market-financing::Secondary Market Financing"
600220,"Securities & Commodities Exchanges & Marketplaces",6002,600220,securities-commodities-exchanges-marketplaces,"Financial > Commercial Financial Services > Securities & Commodities Exchanges & Marketplaces",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600220::6002::600220::securities-commodities-exchanges-marketplaces::Securities & Commodities Exchanges & Marketplaces"
600221,"Specialty Finance",6002,600221,specialty-finance,"Financial > Commercial Financial Services > Specialty Finance",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600221::6002::600221::specialty-finance::Specialty Finance"
600222,"Trust & Custody Services",6002,600222,trust-custody-services,"Financial > Commercial Financial Services > Trust & Custody Services",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600222::6002::600222::trust-custody-services::Trust & Custody Services"
600223,"Trusts & Estates",6002,600223,trusts-estates,"Financial > Commercial Financial Services > Trusts & Estates",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600223::6002::600223::trusts-estates::Trusts & Estates"
600224,"Wealth Management",6002,600224,wealth-management,"Financial > Commercial Financial Services > Wealth Management",Yes,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600224::6002::600224::wealth-management::Wealth Management"
600299,"Other Asset Management",6002,600299,other-asset-management,"Financial > Commercial Financial Services > Other Asset Management",No,0,"600::0::600::financial::Financial|6002::600::6002::commercial-financial-services::Commercial Financial Services|600299::6002::600299::other-asset-management::Other Asset Management"
600301,"Automated Teller Machine Operators",6003,600301,automated-teller-machine-operators,"Financial > Consumer Financial Services > Automated Teller Machine Operators",Yes,0,"600::0::600::financial::Financial|6003::600::6003::consumer-financial-services::Consumer Financial Services|600301::6003::600301::automated-teller-machine-operators::Automated Teller Machine Operators"
600302,"Check Cashing & Coin Conversion",6003,600302,check-cashing-coin-conversion,"Financial > Consumer Financial Services > Check Cashing & Coin Conversion",Yes,0,"600::0::600::financial::Financial|6003::600::6003::consumer-financial-services::Consumer Financial Services|600302::6003::600302::check-cashing-coin-conversion::Check Cashing & Coin Conversion"
